anonymised_donor_id,age_group,country,donation_amount,donation_date,payment_method,newsletter_opt_in,referral_channel,sector,campaign,donation_year,donation_month,donation_day,gender_Female,gender_Male,donation_type_Monthly,donation_amount_category
f887acec7d236a724e0cd0df5112c6a7641e2b6867aeb959b30f3ab470e5ff70,50-65,UK,115.31,2024-10-24,Paypal,False,Website,Real Estate,Rescue Orphaned Gorillas,2024,10,3,1,0,1,High
db1fd2f0b9dd06646c1713945fda992a7250b512cce720e35e20918474e3ec2c,50-65,USA,8.6,2024-06-21,Bank Transfer,False,Online advertising,Logistics,Rescue Orphaned Gorillas,2024,6,4,1,0,0,Low
2723050e7f8594d0642ce8eb7396f17628b99c2ac9a038776a89bf4d674f0d1b,50-65,USA,40.07,2024-08-21,Bank Transfer,False,Online advertising,Media & Communication,Marine Mammal Defense Mission,2024,8,2,1,0,0,Medium
250222dcc99547fe972a1ee5702b4ab7d96246329228cbe7b7f9cc1162740d48,18-29,USA,45.17,2023-10-09,Bank Transfer,False,Online advertising,Government,Wildlife Rescue Van Drive,2023,10,0,0,1,0,Medium
e5b077c046e41a98c2c7689f06f41bc7a43ca2667a1968aad360fe53a396f39a,30-49,UK,85.84,2024-09-01,Bank Transfer,True,Newsletter,Science & Research,Habitat for Hope,2024,9,6,1,0,0,Medium
a112b48e7e42a139743ef4a31a814b1ebbc6ff4869e720a93444e4cfde0e61a6,50-65,Canada,293.22,2024-07-25,Cheque,True,Online advertising,Pharmaceuticals,Habitat for Hope,2024,7,3,0,1,0,Very High
5e139393e3f3a2bff6d40e449f2f19781c33c6f1ec45ba8b923ea0b143aec55b,18-29,Netherlands,15.0,2023-07-21,Paypal,True,Newsletter,Science & Research,Habitat for Hope,2023,7,4,1,0,0,Low
612ed0d31f700426f6ac6f8bf0496c39e74f6e6218ad6cebd486731be57679a8,50-65,France,93.42,2024-01-07,Bank Transfer,False,Newsletter,Government,Wildlife Rescue Van Drive,2024,1,6,1,0,0,Medium
020af8af45b8ae11ffb5d12d3301bdeacde2e5a3b61962aafdeb6750d2bd4141,50-65,Netherlands,19.46,2025-05-02,Bank Transfer,True,Word of mouth,Agriculture,Defend the Great Apes,2025,5,4,1,0,1,Low
6ab3d5603d6b1abff011a2d1f36f188a4359bbd54b3d931d103ffcc8e770dce0,50-65,USA,209.59,2024-03-21,Credit Card,True,Website,Hospitality,Defend the Great Apes,2024,3,3,1,0,1,High
0d2131dcd5319bb154ec98277ee6f7949b935e58b1924c1f8596d4b6be959047,18-29,Netherlands,75.29,2023-12-02,Cheque,False,Newsletter,Consulting,Jungle Education Project,2023,12,5,0,0,1,Medium
55e9d6a828207cbf6df431c0dd463082224637b4ccbc16262f67743d5819a4f0,30-49,USA,23.66,2025-03-19,Cheque,False,Online advertising,Arts & Culture,Wildlife Rescue Van Drive,2025,3,2,1,0,1,Low
